Sample,Number,Dental Age,Predicted Age,Age,Fem_Side,Fem_M_or_E,Fem_Fusion,Fem_Bio_L,Fem_Midshaft_AP_D,Fem_Midshaft_ML_D,Fem_Max_L,Fem_Bicondylar_W,Fem_Head_AP_D,Fem_Head_AP_D_E,Tib_Side,Tib_Bio_L,Tib_M_or_E,Tib_Fusion,Tib_Midshaft_AP_D,Tib_Midshaft_ML_D,Tib_Max_L,Tib_Max_L_E,Tib_Bicond_W,Tib_Bicond_W_E,Tib_Dist_Met_ML_D,Tib_Dist_Met_ML_D_E,Tib_Dist_Met_AP_D,Tib_Dist_Met_AP_D_E,Hum_M_or_E,R_Hum_L,R_Hum_Midshaft_AP_D,R_Hum_Midshaft_ML_D,L_Hum_L,L_Hum_AP_Midshaft_D,L_Hum_ML_Midshaft_D,Hum_Fusion,R_Hum_Max_L,L_Hum_Max_L,Hum_Head_M_or_E,R_Max_Hum_Head_D,L_Max_Hum_Head_D,Hum_Dist_M_or_E,R_Hum_Dist_Met_ML_D,L_Hum_Dist_Met_ML_D,Rad_M_or_E,Rad_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,652,0,.,0,L,M,N,74,5.3,6.2,74.0,17.3,9.0,,L,64,M,N,5.8,5.0,64.0,,13.2,,10.1,,8.9,,M,61,4.7,5.0,60.5,4.7,4.6,N,61.0,,M,11.0,,,14.4,,M,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,661,,0,0,L,M,N,76,6.4,6.9,76.0,19.8,9.6,,R,65,M,N,6.2,6.3,66.0,,15.4,,10.9,,9.0,,M,67,5.7,5.9,66,5.8,5.8,N,67.0,,M,13.3,,,16.7,,M,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,615,,0,0,L,M,N,79,5.9,6.3,80.0,20.0,8.7,,L,65,M,N,6.3,5.5,67.0,,15.9,,11.5,,10.2,,M,67,5.1,4.8,66,5.1,4.8,N,67.0,,M,12.0,,,16.4,,M,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,662,0,.,0,L,M,N,85,6.8,7.1,85.0,21.7,11.9,,L,75,M,N,7.7,6.7,75.0,,18.5,,12.0,,11.6,,M,70,6.4,6.4,71,6.4,6.3,N,71.0,,M,14.9,,,19.3,,M,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,457,,0,0,L,M,N,94,7.4,8.1,97.0,26.6,12.5,,L,78,M,N,7.9,7.2,79.0,,,,12.2,,11.4,,M,78,6.9,6.2,,,,,80.0,,M,16.7,,,19.7,,M,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,7574,,0.05,0.05,R,M,N,86,7.2,7.1,87.0,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,10710,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,M,74,6.4,5.6,74,6.4,5.4,N,74.0,,M,15.6,,M,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,10715,,0.05,0.05,R,M,N,87,7.9,8.1,87.0,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Lopes,1556,,,0.08,L,M,N,77,7.1,6.5,78.0,20.8,12.3,,,,,,,,,,,,,,,,M,,,,67.0,6.2,5.2,N,,67.0,,,,M,,17.7,M,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,7642,,0.13,0.13,L,M,N,83,8.5,8.2,84.0,22.6,12.0,,R,72,M,N,8.5,8.0,73.0,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,8052.4,,0.14,0.14,R,M,N,90,801.0,8.2,90.0,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9067,0.15,,0.15,L,M,N,82,7.4,8.4,83.0,,11.7,,R,74,M,N,8.3,7.1,74.0,,,,,,,,M,,,,71,6.6,6.3,N,72.0,,M,14.8,,M,17.3,,M,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9157,0.15,,0.15,R,M,N,101,9.0,9.7,103.0,,14.1,,L,86,M,N,9.6,8.1,86.0,,,,,,,,M,85,8.1,7.3,85,7.9,7.0,N,85.0,,,,,M,22.3,,M,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9231,0.15,,0.15,L,M,N,94,9.0,9.1,97,25.6,12.8,,L,80,M,N,8.9,6.9,80.0,,,,12.4,,12.1,,M,81,7.9,7.3,81,7.9,7.5,N,81.0,,M,17.1,,M,19.6,,M,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9278,0.15,,0.15,L,M,N,120,11.6,11.6,122,15.9,33.2,,,,,,,,,,,,,,,,M,101,10.5,10.4,101,10.6,10.3,N,101.0,,M,21.0,,M,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,809,0.15,.,0.15,R,M,N,88.5,7.8,8.6,90.0,22.2,12.0,,R,76,M,N,8.6,7.3,77.0,,20.5,,12.1,,12.5,,M,79.5,7.2,6.8,78,7.7,6.9,N,79.5,,M,14.9,,,21.6,,M,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,3190,0.15,.,0.15,L,M,N,90,7.1,7.3,93.0,21.3,12.0,,L,75.5,M,N,6.8,6.7,77.0,,17.0,,10.2,,9.7,,M,78,6.4,6.0,78,6.2,5.9,N,78.0,,M,14.8,,,19.4,,M,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,657,0.15,.,0.15,R,M,N,92,7.6,7.5,94.0,24.6,13.0,,R,79,M,N,7.7,6.6,80.0,,19.0,,11.8,,12.5,,M,79,6.3,6.4,78,6.4,6.6,N,79.0,,M,15.1,,,18.9,,M,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti R,51.0,0.15,.,0.15,L,M,N,95,6.2,7.3,95,23.0,11.8,,,,,,,,83.0,,,,,,,,M,79,6.0,5.8,79,6.0,5.8,N,79.0,79.0,M,14.4,14.2,M,18.2,19.0,M,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti S,43.1,0.15,.,0.15,R,M,N,94,6.2,7.3,95,23.5,10.7,,L,83,M,N,6.7,6.3,82.0,,18.2,,11.4,,10.8,,M,78,5.9,5.2,78,5.9,5.2,N,78.0,78.0,M,13.6,13.8,M,18.1,17.9,M,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti S,51.0,0.15,.,0.15,L,M,N,143,8.6,10.2,149,34.2,15.4,,R,124,M,N,8.8,9.5,127.0,,28.4,,17.0,,16.2,,M,114,8.7,8.0,114,9.1,8.2,N,114.0,114.0,M,19.4,19.5,M,25.7,25.9,M,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Lopes,1532,0.15,,0.15,R,M,N,96,7.4,8.0,99.0,24.4,11.9,,R,81,M,N,7.6,6.5,81.0,,16.6,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,184,,0.15,0.15,R,M,N,100,7.9,8.4,102.0,25.4,13.3,,R,84,M,N,8.0,7.0,84.0,,,,,,,,M,82,7.7,6.6,,,,,85.0,,M,16.5,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9224,0.19,,0.19,L,M,N,82,7.4,7.8,84,23.5,11.5,,L,72,M,N,6.9,6.4,72.0,,17.4,,11.8,,9.8,,M,73,6.7,5.9,,,,N,73.0,,M,15.0,,,,,M,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart,808,0.19,.,0.19,R,M,N,93,6.8,7.6,93.5,21.1,10.1,,L,83.5,M,N,7.9,7.0,84.5,,18.4,,11.9,,11.5,,M,79,6.2,5.5,79,5.9,5.4,N,79.0,,M,15.8,,,19.0,,M,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti S,127.0,0.19,.,0.19,R,M,N,102,8.2,8.7,104,,12.0,,R,87,M,N,8.2,7.6,86.0,,20.9,,13.6,,12.1,,M,81,7.2,6.8,81,7.0,7.1,N,81.0,81.0,M,16.5,16.5,M,21.1,20.9,M,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,558,,0.19,0.19,L,M,N,101,7.5,8.3,103.0,,12.6,,,,,,,,,,,,,,,,M,,,,86,7.0,7.0,N,87.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Lopes,1482,,,0.21,L,M,N,83,7.2,7.5,84,20.7,12.2,,L,70,M,N,7.7,6.5,70.0,,16.6,,9.5,,9.9,,M,,,,72.0,5.9,6.1,N,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9210,0.32,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,M,74,6.2,5.5,74,6.4,6.1,N,74.0,,M,14.6,,,,,M,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9220,0.3,,0.26,R,M,N,87,8.0,7.9,88,24.6,13.0,,R,75,M,N,7.8,7.1,75.0,,,,,,,,M,77,6.6,6.6,77,6.9,6.3,N,77.0,,M,16.4,,M,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti S,44.0,0.26,.,0.26,R,M,N,106,7.2,8.6,108,26.0,11.7,,R,89,M,N,7.8,6.0,89.0,,20.2,,,,12.4,,M,84,6.9,6.5,85,6.5,6.4,N,84.0,85.0,M,15.6,15.5,M,20.0,20.1,M,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti S,89.0,0.26,.,0.26,R,M,N,114,8.3,8.8,118,28.7,13.4,,R,99,M,N,8.2,7.3,101.0,,23.9,,14.8,,15.4,,M,92,7.6,7.4,92,7.7,7.0,N,92.0,92.0,M,19.1,18.7,M,22.7,22.8,M,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,7123,0.27,.,0.27,R,M,N,114,10.1,9.6,115,,14.1,,L,95,M,N,10.5,9.3,96.0,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,151,,0.27,0.27,R,M,N,105,8.6,9.1,108,28.8,13.4,,R,99,M,N,8.8,8.3,90.0,,21.6,,12.8,,12.7,,M,86,8.3,7.7,87,8.2,8.1,N,85.1,86.4,M,17.7,17.5,M,21.7,,M,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,149,0.3,.,0.3,L,M,N,108,8.6,8.8,111,30.2,13.1,,L,93,M,N,9.7,7.9,94.0,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Amerindian,1676,0.32,.,0.32,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,76,7.7,6.6,N,76.0,,M,15.5,,M,20.6,,M,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Hope,75,0.32,.,0.32,L,M,N,100,8.5,9.3,102.0,,11.2,,L,84,M,N,9.4,7.9,85.0,,,,,,,,M,83,8.4,8.2,,,,,84.0,,M,16.6,,,18.5,,M,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Knoll,62,0.35,.,0.35,L,M,N,112,8.3,9.3,115,26.9,12.9,,R,94,M,N,8.3,7.7,95.0,,18.7,,,,12.4,,M,95,9.2,7.1,96,9.3,7.1,N,95.1,95.2,M,19.1,19.1,M,22.9,,M,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistihalj,9087,0.37,,0.35,L,M,N,97,9.4,9.6,98.0,,15.3,,L,84,M,N,9.1,7.9,84.0,,20.6,,,,,,M,84,9.1,8.6,84,9.0,8.3,N,84.0,,M,21.3,,M,23.2,,M,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulubnarti R,17.0,0.39,.,0.39,R,M,N,128,8.4,9.6,131,30.2,12.9,,R,111,M,N,8.3,8.0,112.0,,24.0,,15.5,,14.2,,M,100,7.9,7.9,100,7.5,7.8,N,100.0,100.0,M,18.8,18.7,M,23.0,22.3,M,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
